Sample;Species;Count;Comment;;;;;
89;Ptiliolum fuscum;2;;;;;;
89;Tachinus pallipes;2;;;;;;
89;Tachinus laticollis;1;;;;;;
89;Bisnius puella;1;;;;;;
3;Atheta cinnamoptera;1;;;;;;
77;Deliphrum tectum;2;;;;;;
77;Atheta aeneipennis;1;;;;;;
6;Scaphisoma assimile;1;;;;;;
6;Atheta longicornis;1;;;;;;
6;Atheta aeneipennis;2;;;;;;
6;Tachinus marginellus;1;;;;;;
6;Cyphon punctipennis;1;;;;;;
73;Deliphrum tectum;5;;;;;;
73;Cercyon lateralis;1;;;;;;
73;Platystethus arenarius;5;;;;;;
73;Proteinus brachypterus;1;;;;;;
73;Megarthrus denticollis;1;;;;;;
73;Omalium rivulare;1;;;;;;
73;Tachinus pallipes;1;;;;;;
73;Tachinus laticollis;3;;;;;;
73;Oxytelus laqueatus;16;;;;;;
73;Atheta parapicipennis;17;;;;;;
73;Atheta aeneipennis;7;;;;;;
73;Atheta longicornis;3;;;;;;
73;Atheta cinnamoptera;1;;;;;;
73;Acrotona parvula;3;;;;;;
73;Atheta nesslingi;4;;;;;;
73;Atheta dwinensis;2;;;;;;
73;Pachyatheta cribrata;2;;;;;;
78;Deliphrum tectum;1;;;;;;
76;Deliphrum tectum;3;;;;;;
76;Atheta aeneipennis;1;;;;;;
76;Acrotona sylvicola;2;;;;;;
76;Omalium rivulare;1;;;;;;
76;Apion simile;1;;;;;;
80;Acrotrichis cognata;1;;;;;;
80;Cercyon lateralis;2;;;;;;
80;Cryptopleurum minutum;1;;;;;;
80;Tachinus proximus;3;;;;;;
80;Tachinus pallipes;2;;;;;;
80;Tachinus laticollis;1;;;;;;
70;Deliphrum tectum;2;;;;;;
70;Atheta aeneipennis;1;;;;;;
70;Atheta cinnamoptera;1;;;;;;
70;Tachinus laticollis;4;;;;;;
70;Oxytelus laqueatus;2;;;;;;
70;Megarthrus denticollis;1;;;;;;
70;Proteinus brachypterus;3;;;;;;
70;Omalium rivulare;3;;;;;;
71;Deliphrum tectum;1;;;;;;
71;Platystethus arenarius;3;;;;;;
71;Omalium rivulare;1;;;;;;
81;Atheta cribripennis;2;tai 18 (5 piles 21.7.2007. ICOCK2200704);;;;;
81;Atheta cinnamoptera;1;tai 18 (5 piles 21.7.2007. ICOCK2200704);;;;;
81;Baeocrara variolosa;1;tai 18 (5 piles 21.7.2007. ICOCK2200704);;;;;
81;Anotylus clavatus;1;tai 18 (5 piles 21.7.2007. ICOCK2200704);;;;;
81;Platystethus arenarius;3;tai 18 (5 piles 21.7.2007. ICOCK2200704);;;;;
81;Tachinus laticollis;2;tai 18 (5 piles 21.7.2007. ICOCK2200704);;;;;
81;Megarthrus fennicus;1;tai 18 (5 piles 21.7.2007. ICOCK2200704);;;;;
81;Cercyon lateralis;4;tai 18 (5 piles 21.7.2007. ICOCK2200704);;;;;
79;Sciodrepoides watsoni;5;;;;;;
79;Nicrophorus investigator;1;;;;;;
79;Nicrophorus vespilloides;1;;;;;;
79;Aleochara moerens;1;;;;;;
79;Philonthus varians;1;;;;;;
79;Acrotrichis silvatica;1;;;;;;
79;Cercyon lateralis;1;;;;;;
79;Sphaeridium lunatum;1;;;;;;
64;Deliphrum tectum;1;;;;;;
64;Omalium rivulare;1;;;;;;
64;Megarthrus depressus;1;;;;;;
64;Proteinus brachypterus;1;;;;;;
67;EI KUORIAISIA;0;;;;;;
63;Deliphrum tectum;2;;;;;;
63;Proteinus brachypterus;1;;;;;;
66;Deliphrum tectum;2;;;;;;
66;Megarthrus depressus;1;;;;;;
66;Atheta aeneipennis;1;;;;;;
66;Atheta pilicornis;1;;;;;;
66;Liogluta microptera;1;;;;;;
66;Atheta subtilis;1;;;;;;
66;Atheta sodalis;1;;;;;;
66;Proteinus brachypterus;1;;;;;;
66;Tachinus laticollis;1;;;;;;
66;Acrotrichis cognata;1;;;;;;
68;Deliphrum tectum;2;tai 89 (62.25.24,2: 28.16.36,4);;;;;
68;Atheta parapicipennis;9;tai 89 (62.25.24,2: 28.16.36,4);;;;;
68;Atheta aeneipennis;4;tai 89 (62.25.24,2: 28.16.36,4);;;;;
68;Atheta diversa;2;tai 89 (62.25.24,2: 28.16.36,4);;;;;
68;Omalium rivulare;3;tai 89 (62.25.24,2: 28.16.36,4);;;;;
68;Tachinus laticollis;1;tai 89 (62.25.24,2: 28.16.36,4);;;;;
68;Aphodius uliginosus;1;tai 89 (62.25.24,2: 28.16.36,4);;;;;
65;Deliphrum tectum;3;;;;;;
65;Atheta aeneipennis;1;;;;;;
65;Atheta fungi;1;;;;;;
65;Acrotona sylvicola;3;;;;;;
65;Omalium rivulare;2;;;;;;
65;Omalium rugatum;2;;;;;;
65;Pterostichus diligens;1;;;;;;
69;Deliphrum tectum;1;;;;;;
69;Atheta aeneipennis;23;;;;;;
69;Atheta pilicornis;4;;;;;;
69;Atheta cribripennis;1;;;;;;
69;Atheta parapicipennis;2;;;;;;
69;Atheta cinnamoptera;2;;;;;;
69;Atheta subtilis;5;;;;;;
69;Anopleta corvina;4;;;;;;
69;Oxypoda annularis;1;;;;;;
69;Megarthrus depressus;1;;;;;;
69;Tachinus laticollis;1;;;;;;
69;Autalia longicornis;1;;;;;;
69;Anotylus clavatus;1;;;;;;
75;Deliphrum tectum;10;;;;;;
75;Atheta parapicipennis;24;;;;;;
75;Atheta longicornis;1;;;;;;
75;Atheta laevana;1;;;;;;
75;Atheta atramentaria;1;;;;;;
75;Atheta aeneipennis;2;;;;;;
75;Atheta picipennoides;1;;;;;;
75;Omalium rivulare;5;;;;;;
75;Tachinus proximus;1;;;;;;
75;Tachinus pallipes;1;;;;;;
74;Deliphrum tectum;23;;;;;;
74;Atheta aeneipennis;51;;;;;;
74;Atheta parapicipennis;1;;;;;;
74;Atheta procera;1;;;;;;
74;Tachinus proximus;2;;;;;;
74;Omalium rivulare;5;;;;;;
74;Proteinus brachypterus;2;;;;;;
44;Deliphrum tectum;12;;;;;;
45;Deliphrum tectum;1;;;;;;
45;Platystethus arenarius;1;;;;;;
45;Megarthrus depressus;1;;;;;;
45;Phloeonomus sjobergi;1;;;;;;
45;Proteinus brachypterus;3;;;;;;
45;Atheta aeneipennis;8;;;;;;
52;Deliphrum tectum;1;;;;;;
52;Liogluta micans;1;;;;;;
52;Atheta cinnamoptera;3;;;;;;
52;Atheta subtilis;1;;;;;;
52;Anopleta corvina;1;;;;;;
52;Cercyon lateralis;2;;;;;;
52;Megarthrus depressus;1;;;;;;
52;Oxytelus laqueatus;2;;;;;;
52;Omalium strigicolle;1;;;;;;
52;Proteinus brachypterus;1;;;;;;
50;Deliphrum tectum;38;;;;;;
50;Atheta aeneipennis;6;;;;;;
50;Atheta picipennoides;3;;;;;;
50;Atheta parapicipennis;1;;;;;;
50;Omalium rivulare;8;;;;;;
51;Deliphrum tectum;34;;;;;;
51;Atheta aeneipennis;8;;;;;;
51;Omalium rivulare;1;;;;;;
48;Atheta aeneipennis;12;;;;;;
48;Tachinus pallipes;1;;;;;;
48;Tachinus laticollis;2;;;;;;
48;Platystethus arenarius;1;;;;;;
48;Omalium rivulare;1;;;;;;
48;Proteinus brachypterus;3;;;;;;
48;Gyrohypnus fracticornis;1;;;;;;
48;Philonthus varians;1;;;;;;
47;Atheta crassicornis/paracrassicornis;1;;;;;;
47;Atheta aeneipennis;11;;;;;;
47;Atheta celata;1;;;;;;
47;Tachinus laticollis;5;;;;;;
47;Platystethus arenarius;1;;;;;;
47;Megarthrus depressus;1;;;;;;
47;Proteinus brachypterus;8;;;;;;
43;Deliphrum tectum;15;;;;;;
43;Atheta aeneipennis;2;;;;;;
43;Proteinus brachypterus;1;;;;;;
38;Strophosoma capitatum;1;;;;;;
38;Deliphrum tectum;133;;;;;;
38;Atheta parapicipennis;5;;;;;;
38;Atheta aeneipennis;6;;;;;;
38;Proteinus brachypterus;1;;;;;;
38;Tachinus pallipes;1;;;;;;
38;Tachinus proximus;1;;;;;;
38;Omalium rivulare;23;;;;;;
2;Sciodrepoides watsoni;1;;;;;;
2;Deliphrum tectum;1;;;;;;
2;Liogluta microptera;1;;;;;;
2;Atheta nigricornis;2;;;;;;
2;Atheta cinnamoptera;7;;;;;;
2;Atheta aeneipennis;1;;;;;;
2;Atheta subtilis;2;;;;;;
2;Atheta celata;2;;;;;;
2;Atheta parapicipennis;4;;;;;;
2;Atheta gagatina;2;;;;;;
2;Atheta nesslingi;4;;;;;;
2;Acrotrichis rugulosa;1;;;;;;
2;Omalium rivulare;1;;;;;;
2;Megarthrus depressus;1;;;;;;
2;Megarthrus fennicus;3;;;;;;
2;Anotylus clavatus;2;;;;;;
2;Cercyon lateralis;3;;;;;;
2;Bisnius puella;7;;;;;;
2;Philonthus succicola;3;;;;;;
49;Deliphrum tectum;6;;;;;;
49;Atheta aeneipennis;2;;;;;;
49;Omalium rivulare;1;;;;;;
49;Proteinus brachypterus;2;;;;;;
49;Anthobium atrocephalum;1;;;;;;
53;Deliphrum tectum;1;;;;;;
53;Atheta aeneipennis;11;;;;;;
53;Atheta parapicipennis;1;;;;;;
53;Atheta cinnamoptera;5;;;;;;
53;Proteinus brachypterus;1;;;;;;
53;Tachinus pallipes;1;;;;;;
53;Tachinus laticollis;1;;;;;;
53;Tachinus marginellus;1;;;;;;
53;Philonthus varians;1;;;;;;
53;Bisnius fimetarius;1;;;;;;
53;Gyrohypnus angustatus;1;;;;;;
53;Megarthrus fennicus;1;;;;;;
53;Pteryx suturalis;1;;;;;;
46;Deliphrum tectum;2;;;;;;
46;Autalia longicornis;1;;;;;;
46;Atheta aeneipennis;3;;;;;;
46;Atheta picipes;1;;;;;;
46;Tachinus proximus;2;;;;;;
46;Proteinus brachypterus;2;;;;;;
46;Catops tristis;2;;;;;;
42;Sciodrepoides watsoni;1;;;;;;
42;Atheta aeneipennis;4;;;;;;
42;Nargus velox;2;;;;;;
42;Tachinus marginellus;5;;;;;;
42;Proteinus brachypterus;12;;;;;;
41;Deliphrum tectum;31;;;;;;
41;Atheta aeneipennis;2;;;;;;
41;Atheta picipennoides;2;;;;;;
41;Omalium rivulare;7;;;;;;
39;Deliphrum tectum;35;;;;;;
39;Atheta aeneipennis;10;;;;;;
39;Tachinus proximus;1;;;;;;
39;Omalium rivulare;2;;;;;;
39;Tachinus marginellus;2;;;;;;
36;Deliphrum tectum;2;;;;;;
36;Autalia longicornis;41;;;;;;
36;Sciodrepoides alpestris;2;;;;;;
36;Omalium rivulare;3;;;;;;
36;Cercyon lateralis;1;;;;;;
36;Tachinus laticollis;4;;;;;;
36;Tachinus pallipes;3;;;;;;
36;Tachinus proximus;1;;;;;;
36;Anotylus clavatus;1;;;;;;
36;Megarthrus depressus;5;;;;;;
36;Megarthrus nitidulus;4;;;;;;
36;Bisnius puella;1;;;;;;
36;Atheta subtilis;13;;;;;;
36;Atheta pilicornis;1;;;;;;
36;Atheta cinnamoptera;3;;;;;;
36;Atheta euryptera;1;;;;;;
36;Atheta parapicipennis;1;;;;;;
36;Acrotrichis rugulosa;2;;;;;;
40;Deliphrum tectum;1;;;;;;
40;Atheta crassicornis/paracrassicornis;1;;;;;;
40;Atheta aeneipennis;28;;;;;;
40;Proteinus brachypterus;5;;;;;;
40;Megarthrus fennicus;1;;;;;;
35;Deliphrum tectum;13;;;;;;
35;Autalia longicornis;11;;;;;;
35;Bisnius puella;2;;;;;;
35;Megarthrus nitidulus;1;;;;;;
35;Tachinus proximus;2;;;;;;
35;Tachinus pallipes;1;;;;;;
35;Tachinus laticollis;2;;;;;;
35;Sciodrepoides alpestris;1;;;;;;
35;Atheta cinnamoptera;2;;;;;;
35;Atheta subtilis;4;;;;;;
11;Glischrochilus quadripunctatus;1;;;;;;
11;Deliphrum tectum;7;;;;;;
11;Autalia longicornis;2;;;;;;
11;Atheta boleticola;4;;;;;;
11;Atheta aeneipennis;32;;;;;;
11;Atheta subtilis;2;;;;;;
11;Atheta laevana;3;;;;;;
11;Atheta pilicornis;10;;;;;;
11;Atheta nigricornis;1;;;;;;
11;Atheta cinnamoptera;2;;;;;;
11;Acrotrichis insularis;1;;;;;;
11;Omalium rivulare;5;;;;;;
11;Proteinus brachypterus;7;;;;;;
37;Deliphrum tectum;5;;;;;;
37;Sciodrepoides watsoni;1;;;;;;
37;Autalia longicornis;1;;;;;;
37;Aleochara moerens;1;;;;;;
37;Atheta aeneipennis;4;;;;;;
37;Atheta celata;1;;;;;;
37;Atheta cinnamoptera;6;;;;;;
37;Atheta subtilis;11;;;;;;
37;Atheta nesslingi;1;;;;;;
37;Omalium rivulare;1;;;;;;
37;Tachinus proximus;6;;;;;;
37;Tachinus pallipes;2;;;;;;
37;Tachinus laticollis;1;;;;;;
37;Tachinus marginellus;1;;;;;;
12;Deliphrum tectum;4;;;;;;
12;Atheta aeneipennis;5;;;;;;
12;Atheta pilicornis;5;;;;;;
12;Atheta boleticola;1;;;;;;
12;Tachinus laticollis;1;;;;;;
12;Proteinus brachypterus;1;;;;;;
12;Omalium rivulare;2;;;;;;
12;Xylodromus depressus;1;;;;;;
14;Deliphrum tectum;17;;;;;;
14;Atheta pilicornis;4;;;;;;
14;Atheta aeneipennis;16;;;;;;
14;Atheta boleticola;1;;;;;;
14;Atheta sodalis;2;;;;;;
14;Tachinus laticollis;2;;;;;;
14;Omalium rivulare;6;;;;;;
14;Omalium rugatum;1;;;;;;
14;Proteinus brachypterus;3;;;;;;
23;Sciodrepoides watsoni;7;;;;;;
23;Atheta cinnamoptera;6;;;;;;
23;Atheta fungi;1;;;;;;
23;Atheta sodalis;2;;;;;;
23;Atheta pilicornis;1;;;;;;
23;Omalium rugatum;1;;;;;;
23;Nargus velox;1;;;;;;
1;Autalia longicornis;1;;;;;;
1;Atheta cinnamoptera;1;;;;;;
1;Atheta subtilis;5;;;;;;
1;Atheta aeneipennis;1;;;;;;
1;Atheta crassicornis/paracrassicornis;1;;;;;;
1;Omalium rivulare;2;;;;;;
1;Megarthrus depressus;4;;;;;;
1;Megarthrus nitidulus;2;;;;;;
1;Tachinus laticollis;4;;;;;;
1;Tachinus pallipes;1;;;;;;
1;Bisnius puella;1;;;;;;
1;Philonthus succicola;1;;;;;;
24;Deliphrum tectum;1;;;;;;
24;Autalia longicornis;2;;;;;;
24;Atheta cinnamoptera;4;;;;;;
24;Atheta subtilis;1;;;;;;
24;Atheta nesslingi;2;;;;;;
24;Tachinus proximus;5;;;;;;
24;Tachinus laticollis;1;;;;;;
24;Megarthrus strandi;1;;;;;;
4;Deliphrum tectum;1;;;;;;
4;Atheta aeneipennis;6;;;;;;
4;Atheta crassicornis/paracrassicornis;1;;;;;;
4;Omalium rivulare;5;;;;;;
4;Atheta brunneipennis;1;;;;;;
4;Proteinus brachypterus;1;;;;;;
4;Tachinus marginellus;3;;;;;;
4;Euaesthetus bipunctatus;1;;;;;;
22;Atheta aeneipennis;1;;;;;;
2;Deliphrum tectum;1;;;;;;
2;Sciodrepoides watsoni;1;;;;;;
2;Sciodrepoides fumatus;1;;;;;;
2;Aleochara moerens;1;;;;;;
2;Aleochara lanuginosa;1;;;;;;
2;Atheta euryptera;7;;;;;;
2;Atheta aeneipennis;2;;;;;;
2;Atheta gagatina;3;;;;;;
2;Atheta celata;4;;;;;;
2;Atheta subtilis;1;;;;;;
2;Atheta cinnamoptera;3;;;;;;
2;Atheta picipes;1;;;;;;
2;Atheta nesslingi;2;;;;;;
2;Omalium rivulare;2;;;;;;
2;Megarthrus nitidulus;1;;;;;;
2;Cercyon lateralis;1;;;;;;
13;Deliphrum tectum;8;;;;;;
13;Sciodrepoides watsoni;5;;;;;;
13;Sciodrepoides fumatus;2;;;;;;
13;Autalia longicornis;4;;;;;;
13;Atheta aeneipennis;8;;;;;;
13;Atheta cinnamoptera;1;;;;;;
13;Atheta pilicornis;5;;;;;;
13;Omalium rivulare;2;;;;;;
13;Omalium rugatum;4;;;;;;
13;Megarthrus depressus;4;;;;;;
13;Megarthrus nitidulus;1;;;;;;
13;Philonthus succicola;1;;;;;;
26;Deliphrum tectum;38;;;;;;
26;Sciodrepoides watsoni;10;;;;;;
26;Megarthrus depressus;1;;;;;;
26;Atheta pilicornis;8;;;;;;
26;Atheta aeneipennis;1;;;;;;
26;Atheta cinnamoptera;4;;;;;;
26;Atheta sodalis;1;;;;;;
26;Acrotona parvula;1;;;;;;
26;Tachinus pallipes;1;;;;;;
26;Tachinus laticollis;2;;;;;;
26;Omalium rivulare;3;;;;;;
26;Omalium rugatum;2;;;;;;
5;Atheta sodalis;1;;;;;;
5;Atheta aeneipennis;2;;;;;;
5;Atheta pilicornis;2;;;;;;
5;Omalium rivulare;1;;;;;;
5;Anthobium atrocephalum;1;;;;;;
5;Proteinus brachypterus;5;;;;;;
9;Deliphrum tectum;21;;;;;;
9;Atheta aeneipennis;30;;;;;;
9;Atheta pilicornis;3;;;;;;
9;Atheta dwinensis;1;;;;;;
9;Atheta subtilis;1;;;;;;
9;Omalium rivulare;3;;;;;;
9;Proteinus brachypterus;1;;;;;;
16;Deliphrum tectum;3;;;;;;
16;Atheta aeneipennis;11;;;;;;
16;Atheta laevana;6;;;;;;
16;Atheta cinnamoptera;4;;;;;;
16;Atheta parapicipennis;1;;;;;;
16;Atheta celata;1;;;;;;
16;Autalia longicornis;1;;;;;;
16;Omalium rivulare;5;;;;;;
16;Proteinus brachypterus;1;;;;;;
16;Tachinus proximus;4;;;;;;
16;Platystethus arenarius;3;;;;;;
34;Deliphrum tectum;8;;;;;;
34;Sciodrepoides watsoni;1;;;;;;
34;Sciodrepoides fumatus;3;;;;;;
34;Atheta aeneipennis;4;;;;;;
34;Atheta crassicornis/paracrassicornis;10;;;;;;
34;Atheta europaea;10;;;;;;
34;Anacaena lutescens;1;;;;;;
34;Tachinus laticollis;1;;;;;;
34;Omalium rivulare;1;;;;;;
34;Proteinus brachypterus;1;;;;;;
34;Megarthrus depressus;3;;;;;;
34;Anthobium atrocephalum;1;;;;;;
27;Deliphrum tectum;6;;;;;;
27;Nicrophorus vespilloides;1;;;;;;
27;Sciodrepoides fumatus;1;;;;;;
27;Zyras humeralis;1;;;;;;
27;Atheta aeneipennis;1;;;;;;
27;Atheta cinnamoptera;2;;;;;;
27;Tachinus laticollis;2;;;;;;
27;Tachinus pallipes;1;;;;;;
27;Oxytelus laqueatus;2;;;;;;
27;Philonthus succicola;1;;;;;;
7;Deporaus betulae;1;;;;;;
7;Deliphrum tectum;1;;;;;;
7;Sciodrepoides watsoni;1;;;;;;
7;Atheta euryptera;1;;;;;;
7;Atheta pilicornis;1;;;;;;
7;Atheta crassicornis/paracrassicornis;1;;;;;;
7;Tachinus laticollis;1;;;;;;
7;Megarthrus nitidulus;1;;;;;;
7;Anthophagus omalinus;1;;;;;;
7;Omalium rugatum;1;;;;;;
25;Sciodrepoides watsoni;2;;;;;;
25;Atheta crassicornis/paracrassicornis;1;;;;;;
25;Atheta cinnamoptera;1;;;;;;
25;Atheta pilicornis;2;;;;;;
25;Atheta subtilis;2;;;;;;
25;Tachinus laticollis;3;;;;;;
25;Bisnius puella;1;;;;;;
32;Deliphrum tectum;1;;;;;;
32;Atheta subtilis;2;;;;;;
32;Atheta cinnamoptera;1;;;;;;
32;Atheta crassicornis/paracrassicornis;2;;;;;;
32;Atheta pilicornis;1;;;;;;
32;Atheta parapicipennis;1;;;;;;
32;Cercyon lateralis;1;;;;;;
32;Bisnius puella;3;;;;;;
32;Megarthrus nitidulus;2;;;;;;
32;Tachinus pallipes;1;;;;;;
32;Tachinus proximus;1;;;;;;
15;Deliphrum tectum;2;;;;;;
15;Anthobium atrocephalum;1;;;;;;
15;Sciodrepoides watsoni;1;;;;;;
15;Autalia longicornis;5;;;;;;
15;Atheta cinnamoptera;3;;;;;;
15;Atheta aeneipennis;27;;;;;;
15;Atheta sodalis;1;;;;;;
15;Aleochara moerens;1;;;;;;
15;Atheta pilicornis;3;;;;;;
15;Atheta parapicipennis;4;;;;;;
15;Tachinus laticollis;1;;;;;;
15;Tachinus marginellus;1;;;;;;
15;Tachinus proximus;1;;;;;;
15;Omalium rivulare;1;;;;;;
15;Megarthrus depressus;5;;;;;;
15;Megarthrus nitidulus;1;;;;;;
15;Proteinus brachypterus;3;;;;;;
21;Atheta aeneipennis;28;;;;;;
21;Atheta cinnamoptera;3;;;;;;
21;Proteinus brachypterus;3;;;;;;
19;Tachinus pallipes;5;;;;;;
19;Tachinus laticollis;10;;;;;;
19;Omalium rivulare;1;;;;;;
19;Proteinus brachypterus;16;;;;;;
92;Autalia longicornis;1;;;;;;
92;Sciodrepoides watsoni;1;;;;;;
92;Megarthrus nitidulus;1;;;;;;
92;Megarthrus depressus;1;;;;;;
92;Tachinus pallipes;4;;;;;;
92;Tachinus laticollis;3;;;;;;
92;Omalium rivulare;2;;;;;;
92;Gabrius osseticus;1;;;;;;
92;Atheta cinnamoptera;6;;;;;;
92;Atheta nigricornis;8;;;;;;
92;Atheta euryptera;2;;;;;;
92;Atheta pilicornis;1;;;;;;
92;Atheta nesslingi;3;;;;;;
92;Atheta nigripes;1;;;;;;
30;Sciodrepoides watsoni;3;;;;;;
30;Deliphrum tectum;2;;;;;;
30;Atheta aeneipennis;2;;;;;;
30;Atheta cinnamoptera;6;;;;;;
30;Atheta gagatina;1;;;;;;
30;Tachinus laticollis;2;;;;;;
30;Megarthrus depressus;4;;;;;;
30;Proteinus brachypterus;1;;;;;;
30;Anotylus clavatus;1;;;;;;
31;Sciodrepoides watsoni;1;;;;;;
31;Sciodrepoides fumatus;1;;;;;;
31;Nargus velox;1;;;;;;
31;Atheta cinnamoptera;10;;;;;;
31;Atheta laticollis;1;;;;;;
31;Atheta crassicornis/paracrassicornis;5;;;;;;
31;Atheta aeneipennis;1;;;;;;
31;Atheta nigripes;1;;;;;;
31;Acrotona parvula;1;;;;;;
31;Atheta subtilis;2;;;;;;
31;Atheta nesslingi;2;;;;;;
31;Bisnius puella;1;;;;;;
31;Philonthus marginatus;1;;;;;;
31;Megasternum concinnum;1;;;;;;
31;Tachinus laticollis;4;;;;;;
31;Tachinus basalis;4;;;;;;
31;Tachinus pallipes;4;;;;;;
